FeatureName     	   HashVal	MinVal	MaxVal	Weight	RelScore
sleep           	     63534	0.15	1.00	-0.39	-100.00
stayhome        	    205510	1.00	1.00	-0.24	 -61.02
tea             	    176102	1.00	1.00	-0.23	 -59.85
exercise        	    209838	0.45	1.00	-0.21	 -53.55
oliveoil        	    209486	1.00	1.00	-0.20	 -51.48
egg             	    229942	1.00	1.00	-0.19	 -50.44
potato          	    187166	1.00	1.00	-0.15	 -38.25
milk            	    156342	1.00	1.00	-0.14	 -35.49
salad           	    234614	1.00	1.00	-0.13	 -34.76
cheese          	    253822	1.00	1.00	-0.12	 -31.40
smallveggiewraps	    134198	0.70	1.00	-0.11	 -29.34
rizo            	    235118	1.00	1.00	-0.10	 -26.69
strawberry      	    132430	1.00	1.00	-0.09	 -24.09
tilapia         	    221222	1.00	1.00	-0.09	 -24.09
olives          	     34022	1.00	1.00	-0.09	 -23.74
earthbalance    	     96174	0.70	1.00	-0.09	 -23.34
musaka          	      5278	1.00	1.00	-0.09	 -22.48
bacon           	     32214	1.00	1.00	-0.09	 -22.06
grape           	     68478	1.00	1.00	-0.08	 -20.20
artichokepie    	     32366	1.00	1.00	-0.07	 -17.72
turmeric        	     57422	1.00	1.00	-0.07	 -17.61
spinach         	    243470	1.00	1.00	-0.07	 -17.61
fried           	    177566	1.00	1.00	-0.07	 -17.61
pomegranate     	    126590	1.00	1.00	-0.07	 -17.61
fajita          	    129678	1.00	1.00	-0.07	 -17.38
tempura         	     79974	1.00	1.00	-0.07	 -17.24
havarti         	     92526	1.00	1.00	-0.06	 -16.34
fish            	     83070	1.00	1.00	-0.06	 -15.94
watermelon      	    205726	0.70	1.00	-0.06	 -15.37
halfnhalf       	    216998	1.00	1.50	-0.05	 -13.89
parmesan        	      1558	1.00	2.00	-0.05	 -13.88
atkinsbar       	    124966	1.00	1.00	-0.05	 -13.32
greenbeans      	    170766	1.00	1.00	-0.05	 -12.91
hotdog          	     19470	1.00	1.00	-0.05	 -12.52
frenchtoast     	    217262	1.00	1.00	-0.04	 -10.84
thinpretzel     	    246662	1.00	1.00	-0.04	 -10.84
wine            	    223614	1.00	1.00	-0.04	 -10.03
beans           	    166790	0.20	1.00	-0.03	  -8.83
crab            	     45462	1.00	1.00	-0.03	  -8.62
carrot          	     26158	1.00	1.00	-0.03	  -7.36
chicken         	    200374	1.00	1.00	-0.03	  -6.96
icecream        	     11230	0.30	1.00	-0.02	  -6.26
whitenectarine  	     51830	1.00	1.00	-0.02	  -5.26
sugaryogurt     	    148942	1.00	1.00	-0.01	  -3.73
plum            	     89822	1.00	1.00	-0.01	  -2.21
falafel         	     63022	1.00	7.00	-0.01	  -1.77
frappuccino     	    201966	0.20	1.00	-0.01	  -1.45
peas            	     98974	1.00	1.00	0.00	   0.38
quinoa          	    244622	1.00	1.00	0.00	   0.38
salmon          	    107710	1.00	1.00	0.00	   1.06
cherry          	     36310	0.70	1.00	0.01	   1.32
veggieburger    	     91822	1.00	1.00	0.01	   1.38
thaisoup        	    119078	1.00	1.00	0.01	   1.38
granola         	     75734	1.00	1.00	0.01	   1.43
soup            	    200406	1.00	1.00	0.01	   1.58
coleslaw        	    181902	1.00	1.00	0.01	   1.77
avocado         	    245334	1.00	10.00	0.01	   1.80
peanut          	     57910	0.50	8.00	0.01	   2.16
nectarine       	     48214	0.50	1.00	0.01	   3.07
nuggets         	     90798	1.00	1.00	0.02	   4.03
Constant        	    142054	1.00	1.00	0.02	   4.20
gyoza           	     92998	1.00	1.00	0.02	   4.68
cocoa           	    247734	1.00	1.00	0.02	   5.00
pizza           	     17790	1.00	1.00	0.02	   5.66
butter          	    168454	1.00	1.00	0.03	   7.48
coffeecandy     	    161990	0.50	6.00	0.03	   8.73
couscous        	    134142	1.00	1.00	0.04	   9.39
sushi           	    145902	1.00	1.00	0.04	   9.67
date            	    235742	1.00	1.50	0.04	   9.71
brownrice       	    185830	1.00	1.00	0.04	   9.95
shrimp          	    199934	1.00	1.00	0.04	   9.95
snapple         	    246670	1.00	1.00	0.04	  10.32
chocolate       	    123382	1.00	1.00	0.04	  11.02
peanuts         	     40486	0.40	1.00	0.04	  11.63
grilledonion    	    125638	1.00	1.00	0.05	  11.87
granolabar      	    219726	1.00	1.00	0.05	  11.88
dietsnapple     	    248414	1.00	1.00	0.05	  12.10
ham             	    163726	1.00	1.00	0.05	  12.11
sausage         	    172830	1.00	1.00	0.05	  12.11
eggpie          	    102566	1.00	1.00	0.05	  12.11
croissant       	     69430	1.00	1.00	0.05	  12.35
cookie          	    124894	0.50	1.00	0.05	  13.22
clementine      	    179238	0.50	1.00	0.05	  13.83
mottsfruitsnack 	     65358	1.00	2.00	0.05	  13.89
splenda         	      3478	1.00	1.00	0.05	  14.09
thinkthinbar    	    150486	1.00	1.00	0.06	  14.26
pistachio       	    258710	0.50	1.00	0.06	  14.52
indian          	    164350	1.00	1.00	0.06	  14.96
gefiltefish     	     39686	1.00	1.00	0.06	  15.47
cheeseburger    	    103886	1.00	1.00	0.06	  15.75
cornbread       	    116566	1.00	1.00	0.06	  16.07
peach           	    155014	1.00	1.00	0.06	  16.07
giro            	    172206	1.00	1.00	0.06	  16.47
meat            	    149886	1.00	1.00	0.06	  16.51
driedapple      	     35518	1.00	1.00	0.07	  17.38
coconutbar      	    100870	1.00	1.00	0.07	  18.32
bun             	       894	1.00	1.00	0.07	  18.91
knish           	     99334	1.00	1.00	0.07	  19.10
rice            	    196990	1.00	1.00	0.08	  19.55
apple           	    214150	1.00	1.00	0.08	  19.68
coconut         	    183486	1.00	1.00	0.08	  20.48
trailmix        	    218406	1.00	1.00	0.08	  20.98
melon           	    248398	1.00	1.00	0.08	  21.03
sorbet          	     37806	0.20	1.00	0.08	  21.55
gummybears      	     41782	1.00	1.00	0.09	  22.43
schnitzel       	     30926	1.00	1.00	0.09	  22.47
pita            	    182086	1.00	1.00	0.09	  22.62
icecreamsandwich	     58678	1.00	1.00	0.09	  22.67
friedrice       	     34486	1.00	1.00	0.09	  22.78
hummusroll      	    101222	1.00	1.00	0.09	  22.90
tomatosoup      	     38494	1.00	1.00	0.09	  22.90
mango           	    254286	1.00	1.00	0.09	  23.09
sugarlemonade   	    101686	1.00	1.00	0.09	  23.61
breadedshrimp   	    160174	1.00	1.00	0.09	  24.03
hummus          	     54598	1.00	1.00	0.10	  25.73
meatball        	     60678	1.00	1.00	0.10	  27.16
bbqsauce        	     94062	1.00	1.00	0.11	  28.07
beet            	     43902	1.00	1.00	0.11	  29.04
sweetjapanese   	      3182	1.00	1.00	0.11	  29.18
dietcoke        	    120902	0.30	1.00	0.11	  29.44
ketchup         	    131638	1.00	1.00	0.12	  31.42
corn            	    104766	1.00	1.00	0.12	  31.47
quesadilla      	     62270	1.00	1.00	0.12	  31.47
frenchfries     	    167454	1.00	1.00	0.12	  32.03
rogalach        	     76686	0.70	1.00	0.13	  32.72
nathans         	     19974	0.70	1.00	0.13	  32.72
pasta           	    154454	1.00	1.00	0.13	  32.78
danish          	    218462	1.00	1.00	0.14	  35.21
tofee           	    194390	0.70	1.00	0.15	  38.06
beef            	    225494	1.00	1.00	0.15	  40.03
kettlecorn      	    177574	1.00	1.00	0.16	  42.10
bagel           	    111326	0.50	1.00	0.16	  42.18
caramelizedwalnut	    205110	1.00	1.00	0.16	  42.18
bread           	     28542	0.40	2.00	0.17	  44.68
breadedchicken  	    170086	1.00	1.00	0.17	  44.91
brownie         	     46566	0.40	1.00	0.18	  47.08
nosleep         	     71702	0.20	1.00	0.27	  69.25
